ALIMENT;CALORIES
Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire;21.5
Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard);53.7
Thé noir, infusé, non sucré;1.26
Thé vert, infusé, non sucré;0
Thé oolong, infusé, non sucré;0
Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);93.5
Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau);traces
Sirop à diluer, sucré;246
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""";21.7
Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés;19.7
Boisson au jus de fruit et au lait;-
Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux;65.4
Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D;52.6
Boisson gazeuse, sans jus de fruit, non sucrée, avec édulcorants;0.83
Tonic ou bitter, non sucré, avec édulcorants;2.02
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;0.8
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants;2.36
Limonade, non sucrée, avec édulcorants;0.67
Cola, non sucré, avec édulcorants;1.64
Boisson au thé, aromatisée, non sucrée, avec édulcorants;1.42
Cola, non sucré, avec édulcorants, sans caféine;0.9
Boisson énergisante, non sucrée, avec édulcorants;5
Bière brune;40.7
"Bière ""coeur de marché"" (4-5° alcool)";37.3
Bière forte (>8° alcool);62.5
Bière faiblement alcoolisée (3° alcool);35.5
"Bière ""spéciale"" (5-6° alcool)";56.3
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";47.1
Bière sans alcool (<1,2° alcool);25.3
Cidre brut;-
Cidre doux;-
Cidre traditionnel;-
Vin doux;147
Pétillant de fruits;65.6
Vin blanc 11°;77.7
Vin blanc mousseux;75.3
Vin rouge 10°;67.3
Vin rouge 11°;77.7
Vin rouge 12°;76.5
Vin rosé 11°;71.5
Champagne;81.7
Vin rouge 13°;73.3
Vin blanc mousseux aromatisé;83.5
Vin blanc sec 11°;55.9
Pastis;274
Eau de vie;228
Gin;265
Liqueur;328
Rhum;248
Whisky;249
Vodka;237
Alcool pur;660
Marsala;211
Marsala aux oeufs;153
Crème de cassis;251
Eau de vie de vin, type armagnac, cognac;228
Saké ou Alcool de riz;133
Apéritif à base de vin ou vermouth;137
Apéritif anisé sans alcool;6
Cocktail à base de rhum;180
Cocktail à base de whisky;166
Sangria;85.1
Kir (au vin blanc);91
Kir royal (au champagne);96.6
Cocktail type punch, 16% alcool;162
Cocktail sans alcool (à base de jus de fruits et de sirop);52.5
Panaché (limonade et bière);36.2
Panaché préemballé (<1° alc.);25.4
Céleri rémoulade, préemballé;-
Salade de thon et légumes, appertisée, égouttée;-
Salade composée avec viande ou poisson, appertisée, égouttée;-
Champignon à la grecque;-
Salade de pommes de terre maison;-
Taboulé ou Salade de couscous, préemballé;-
Salade de pomme de terre à la piémontaise, préemballée;-
Salade de riz;-
Salade de pâtes, végétarienne;-
Salade de pâtes aux légumes, avec poisson ou viande;-
Taboulé ou Salade de couscous au poulet, préemballé;-
Samossas ou Samoussas;237
Spécialité chinoise ou bouchées à la vapeur, cuite;141
Rouleau de printemps;109
Nem ou Pâté impérial;224
Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.);186
Beignet de viande, volaille ou poisson, fait maison;237
Brick à l'oeuf;256
Brick à la pomme de terre;216
Tripes à la mode de Caen;117
Blanquette de veau;113
Boeuf bourguignon;96.5
Sauté d'agneau au curry;169
Canard en sauce (poivre vert, chasseur, etc.);146
Lapin à la moutarde;108
Cordon bleu de volaille;233
Coq au vin;180
Paupiette de veau;193
Paupiette de volaille;160
Boeuf, boulettes cuites;209
Veau, escalope panée, cuite;271
Poulet au curry et au lait de coco;164
Meloukhia, plat à base de boeuf et corete;187
Boulettes au porc et au bœuf (à la suédoise);254
Boulettes au bœuf et à l'agneau (type kefta);220
Palette à la diable;120
Langue de bœuf sauce madère;180
Porc au caramel;135
Boulettes au bœuf, à la sauce tomate;117
Brochette de volaille;184
Brochette de boeuf;207
Brochette mixte de viande;209
Nuggets de volaille;248
Carpaccio de bœuf, avec marinade;278
Brochette d'agneau;142
Yakitori (brochettes japonaises grillées en sauce);172
Brochette de porc, crue;131
Moules marinières (oignons et vin blanc);97.8
Moules farcies (beurre, persillade…);322
Gratin ou cassolette de poisson et / ou fruits de mer, à cuire;108
Saumon à l'oseille;152
Poisson blanc à la bordelaise;172
Poisson blanc à la provençale ou niçoise (sauce tomate);66.3
Poisson blanc à la florentine (sauce aux épinards);107
Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules);80
Poisson blanc à la sauce moutarde;90.8
Poisson blanc à la parisienne (sauce aux champignons);71.6
Poisson blanc à l'estragon;77.2
Poisson blanc sauce oseille;105
Saumon farci;227
Brochette de poisson;128
Brochette de crevettes;106
Poisson en sauce, surgelé;126
Terrine ou mousse de légumes;159
Flan de légumes;195
Haricots blancs à la sauce tomate, appertisés;85.5
Piperade basquaise;69
Poêlée de légumes assaisonnés sans champignon, surgelée, crue;47
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;76.2
Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;51.6
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";34.6
Tofu, nature;99.8
Escalope végétale ou steak à base de soja;253
Choucroute, sans garniture, égouttée;33.8
Ratatouille cuisinée;54.7
Épinards à la crème;40.9
Gratin d'aubergine;112
Gratin dauphinois;115
Endive au jambon;90.9
Gratin de chou-fleur;96.8
Gratin de légumes;102
Riste d'aubergines (aubergines, tomates, oignons);145
Palet ou galette de légumes, préfrit, surgelé;93.7
Palet ou galette de légumes, préfrit, surgelé, cuit;105
Tomate à la provençale;77.6
Beignet de légumes;156
Blé dur précuit cuisiné, en sachet micro-ondable;188
Blé dur précuit, grains entiers, cuisiné, à poêler;344
Ravioli à la viande, sauce tomate, appertisé;90.5
Lasagnes ou cannelloni à la viande (bolognaise);118
Pâtes à la bolognaise (spaghetti, tagliatelles…);114
Riz cantonais;164
Ravioli chinois à la vapeur à la crevette, cuit;166
Gratin de pâtes;159
Lasagnes ou cannelloni aux légumes;114
Pâtes à la carbonara (spaghetti, tagliatelles…);167
Lasagnes ou cannelloni au poisson;142
Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, cuites;133
Couscous de légumes;114
Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, cuites;175
Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), crues;274
Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), cuites;166
Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, crues;216
Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, crues;266
Nouilles sautées/poêlées aux crevettes;103
Riz blanc, cuit, avec poulet;175
Riz blanc, cuit, avec légumes et viande;167
Risotto, aux légumes;124
Risotto, aux fruits de mer;130
Risotto, aux fromages;195
Raviolis aux légumes, sauce tomate, appertisés;89.3
Pâtes fraîches farcies (ex : raviolis), aux légumes, cuites;155
Pâtes en sauce aux fromages (spaghetti, tagliatelles…);163
Pâtes fraîches farcies (ex : ravioli), aux légumes, crues;255
Lasagnes ou cannelloni au fromage et aux épinards;151
Aligot (purée de pomme de terre à la tomme fraîche);191
Soufflé au fromage;185
Tartiflette;110
Gougère;382
Fondue savoyarde (fromages, vin, pain);241
Fromage pané au jambon;263
Cassoulet, appertisé;129
Choucroute garnie;109
Petit salé ou saucisse aux lentilles;118
Pot-au-feu;77.5
Boeuf aux carottes;96.6
Potée auvergnate (chou et porc);86.4
Cassoulet au porc, appertisé;132
Cassoulet au canard ou oie, appertisé;161
Tomate farcie;124
Chou farci;94.9
Chili con carne;118
Moussaka;147
Navarin d'agneau aux légumes;116
Tajine de mouton;132
Osso buco;102
Poulet basquaise;107
Tajine de poulet;127
Chop suey (porc ou poulet);78.2
Légumes farcis (sauf tomate);91.9
Paëlla;148
Couscous au poisson;105
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson;117
Sushi ou Maki aux produits de la mer;191
Crêpe ou Galette fourrée au poisson et / ou fruits de mer;206
Hachis Parmentier à la viande;138
Couscous au mouton;149
Couscous à la viande ou au poulet, allégé;90.7
Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts;168
Couscous royal (avec plusieurs viandes);132
Couscous au poulet;130
Couscous à la viande;128
Parmentier de canard;146
Focaccia, garnie;233
Fougasse, garnie;321
Croque-monsieur;270
Hot-dog;242
Hamburger, provenant de fast food;246
Cheeseburger, provenant de fast food;268
Double cheeseburger, provenant de fast food;299
Sandwich grec ou Kebab, pita, crudités;233
Sandwich grec ou Kebab, baguette, crudités;258
Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;274
Sandwich panini, jambon cru, mozzarella, tomates;243
Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;222
Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;252
Sandwich baguette, jambon emmental;285
Sandwich baguette, saumon fumé, beurre;265
Sandwich baguette, thon, maïs, crudités;198
Pan bagnat;215
Sandwich baguette, jambon, beurre;284
Sandwich baguette, camembert, beurre;339
Sandwich baguette, pâté, cornichons;299
Sandwich baguette, saucisson, beurre;379
Sandwich baguette, jambon, emmental, beurre;301
Toasts ou Canapés salés, garnitures diverses;233
Sandwich baguette, crudités diverses, mayonnaise;221
Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;255
Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;247
Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;267
Sandwich baguette, merguez, ketchup moutarde;282
Sandwich baguette, salami, beurre;379
Croque-madame;264
Sandwich pain de mie, garnitures diverses;267
Croque-monsieur, rayon frais;276
Sandwich pain de mie complet, jambon, crudités, fromage optionnel;243
Sandwich pain de mie complet, thon, crudités, mayonnaise;240
Sandwich pain de mie complet, jambon, fromage;292
Sandwich pain de mie complet, poulet, crudités, mayonnaise;232
Soupe aux lentilles, préemballée à réchauffer;47.1
Soupe à la volaille et aux légumes, préemballée à réchauffer;30.8
Soupe aux légumes variés, préemballée à réchauffer;36.8
Soupe de poissons et / ou crustacés, préemballée à réchauffer;40.8
Soupe aux légumes variés, déshydratée reconstituée;31.6
Soupe aux poireaux et pommes de terre, préemballée à réchauffer;35.5
Soupe à la volaille et aux vermicelles, préemballée à réchauffer;30.8
Soupe à l'oignon, préemballée à réchauffer;40.4
Soupe aux champignons, préemballée à réchauffer;48.2
Soupe à la carotte, préemballée à réchauffer;33.2
Soupe à la tomate, préemballée à réchauffer;39.7
Soupe chorba frik, à base de viande et de frik;62.9
Soupe minestrone, préemballée à réchauffer;48.8
Soupe au pistou, déshydratée reconstituée;30.4
Soupe de poissons et / ou crustacés, déshydratée reconstituée;29
Soupe asiatique, avec pâtes, déshydratée reconstituée;29.8
Soupe marocaine, déshydratée reconstituée;34.3
Soupe aux poireaux et pommes de terre, déshydratée reconstituée;26.1
Soupe à la volaille et aux légumes, déshydratée reconstituée;27.3
Soupe aux asperges, déshydratée reconstituée;35.3
Soupe à la tomate et aux vermicelles, préemballée à réchauffer;37.7
Soupe aux céréales et aux légumes, déshydratée reconstituée;47.8
Soupe à la tomate, déshydratée reconstituée;33.3
Soupe aux champignons, déshydratée reconstituée;36.3
Soupe à l'oignon, déshydratée reconstituée;24
Soupe au potiron, préemballée à réchauffer;36.9
Soupe à la tomate et aux vermicelles, déshydratée reconstituée;22.1
Soupe à la volaille et aux vermicelles, déshydratée reconstituée;19.9
Soupe au pistou, préemballée à réchauffer;31.9
Soupe au potiron, déshydratée reconstituée;38.3
Soupe asiatique, avec pâtes, préemballée à réchauffer;22.3
Soupe minestrone, déshydratée reconstituée;31.3
Soupe au cresson, déshydratée reconstituée;25.1
Soupe au cresson, préemballée à réchauffer;34
Soupe aux légumes avec fromage, préemballée à réchauffer;50.2
Soupe aux légumes verts, préemballée à réchauffer;33.5
Soupe aux légumes verts, déshydratée reconstituée;34.9
Soupe aux pois cassés, préemballée à réchauffer;56.7
Soupe froide type Gaspacho ou Gazpacho;32.8
Soupe aux asperges, préemballée à réchauffer;133
Bouillon de viande et légumes type pot-au-feu, prêt à consommer;5.78
Bouillon de boeuf, déshydraté reconstitué;9.05
Bouillon de volaille, déshydraté reconstitué;5.58
Bouillon de légumes, déshydraté reconstitué;5.38
Bouillon de boeuf, déshydraté;240
Bouillon de légumes, déshydraté;285
Bouillon de volaille, déshydraté;233
Bouillon de viande et légumes type pot-au-feu, déshydraté;237
Curry, poudre;301
Gingembre, poudre;336
Poivre noir, poudre;301
Poivre blanc, poudre;310
Poivre gris, poudre;283
Cannelle, poudre;243
Coriandre, graine;346
Safran;352
Cumin, graine;427
Noix de muscade;507
Paprika;319
Clou de girofle;335
Laurier, feuille;353
Quatre épices;348
Pavot, graine;551
Carvi, graine;334
Vanille, extrait alcoolique;240
Fenouil, graine;326
Gingembre, racine crue;81.6
Cardamome, poudre;321
Fenugrec, graine;350
Poivre de Cayenne ou piment de Cayenne;376
Curcuma, poudre;291
Vanille, extrait aqueux;57.7
Ail séché, poudre;344
Persil, séché;291
Menthe, séchée;283
Basilic, séché;244
Marjolaine, séchée;276
Origan, séché;265
Romarin, séché;328
Sauge, séchée;320
Thym, séché;285
Herbes de Provence, séchées;283
Sarriette, séchée;264
Meloukhia, feuilles de corète séchées, en poudre;239
Ail, cru;-
Cerfeuil, frais;37.9
Ciboule ou Ciboulette, fraîche;29.9
Persil, frais;42.7
Raifort, cru;-
Menthe, fraîche;57.7
Basilic, frais;34.2
Romarin, frais;121
Sauge, fraîche;149
Thym, frais;126
Estragon, frais;44
Aneth, frais;48.2
Coriandre, fraiche;22.3
Fond de veau pour sauces et cuisson, déshydraté;343
Fond de volaille pour sauces et cuisson, déshydraté;353
Court-bouillon pour poissons, déshydraté;260
Gelée au madère, déshydratée;248
Gelée au madère;136
Fond de veau, préemballé;40.9
Pizza, sauce garniture pour;38.6
Ketchup;102
Sauce tartare, préemballée;520
Mayonnaise (70% MG min.);696
Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée;309
Sauce barbecue, préemballée;141
Sauce béchamel, préemballée;90.1
Sauce béarnaise, préemballée;436
Sauce soja, préemballée;52.2
Sauce hollandaise, préemballée;186
Sauce tomate aux oignons, préemballée;78.8
Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée;-
Sauce vinaigrette (50 à 75% d'huile), préemballée;-
Sauce armoricaine, préemballée;83.6
Harissa (sauce condimentaire);-
Sauce tomate à la viande ou Sauce bolognaise, préemballée;93.8
Sauce au poivre vert, préemballée;88.9
Sauce bourguignonne, préemballée;432
Sauce madère, préemballée;37.6
Sauce à l'échalote à la crème, préemballée;106
Sauce carbonara, préemballée;160
Sauce chasseur, préemballée;38.8
Sauce au curry, préemballée;77.4
Sauce au beurre blanc, préemballée;174
Sauce béchamel, maison;147
Sauce moutarde, préemballée;233
Sauce au beurre, préemballée;192
Sauce à la crème;78.2
Sauce aux champignons, préemballée;98.8
Sauce à la crème aux épices;82.5
Sauce à la crème aux herbes;76.6
Sauce aigre douce, préemballée;-
Sauce au vin rouge;-
Sauce au yaourt;-
Sauce américaine, préemballée;423
Sauce aïoli, préemballée;413
Sauce basquaise ou Sauce aux poivrons, préemballée;63.1
Sauce tomate aux champignons, préemballée;65.1
Sauce tomate aux olives, préemballée;108
Sauce pesto, préemballée;404
Sauce au poivre, chaude, préemballée;74.4
Sauce crudités ou Sauce salade, préemballée;303
Sauce au fromage pour risotto ou pâtes, préemballée;118
Sauce au roquefort, préemballée;128
Sauce aux champignons et à la crème, préemballée;90.5
Sauce Nuoc Mâm ou Sauce au poisson, préemballée;81.2
Sauce burger, préemballée;367
Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée;161
Sauce grand veneur, préemballée;103
Sauce indienne type tandoori ou tikka masala, préemballée;86.7
Sauce kebab, préemballée;293
Sauce rouille, préemballée;381
Sauce tomate aux petits légumes, préemballée;66.8
Sauce tomate au fromage, préemballée;180
Sauce pesto rosso, préemballée;305
Sauce au poivre, condimentaire, froide, préemballée;485
Sauce teriyaki, préemballée;-
Guacamole, préemballé;-
Houmous;288
Meloukhia, sauce, artisanale;-
Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme);0
Sel au céleri;49
Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme);0
Fleur de sel, non iodée, non fluorée;0
Sel marin gris, non iodé, non fluoré;0
Sel blanc alimentaire, iodé, fluoré à 25 mg /100g (marin, ignigène ou gemme);0
Sauce au chocolat;277
Crème anglaise, préemballée;105
Cornichon, au vinaigre;26.7
Moutarde;152
Vinaigre;22.6
Moutarde à l'ancienne;-
Câpres, au vinaigre;-
Tapenade;-
Oignon au vinaigre;-
Vinaigre de cidre;-
Vinaigre balsamique;-
Cornichon, aigre-doux;36
Olive noire, en saumure;-
Olive verte, en saumure;-
Olive noire, à l'huile (à la grecque);332
Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);-
Boisson diététique pour le sport;-
Substitut de repas hypocalorique, crème dessert;94
Substitut de repas hypocalorique, prêt à boire;83
Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé;86.7
Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake;89.1
Gélatine, sèche;348
Levure de boulanger, compressée;-
Levure de boulanger, déshydratée;-
Levure chimique ou Poudre à lever;-
Bicarbonate de soude;0.4
Miso;-
Tempeh;-
Sirop pour fruits appertisés au sirop;-
Sirop léger pour fruits appertisés au sirop;-
Jus d'ananas pour ananas appertisé au jus;-
Gélifiant pour confitures;278
Base de pizza à la crème;261
Base de pizza tomatée;232
Germe de blé;382
Levure alimentaire;334
Pollen, partiellement séché;358
Lécithine de soja;783
Barre glacée chocolatée;359
Glace ou crème glacée, bâtonnet, enrobé de chocolat;328
Glace ou crème glacée, cône (taille standard);283
Glace ou crème glacée, en bac;203
Glace au yaourt;188
Glace ou crème glacée, gourmande, en bac;226
Glace ou crème glacée, gourmande, en pot;225
Glace ou crème glacée, mini cône;357
Glace ou crème glacée, pot individuel;237
Glace ou crème glacée, petit pot enfant;162
Sorbet, bâtonnet;-
Sorbet, en bac;-
Glace à l'eau;-
Profiterole avec glace vanille et sauce chocolat;260
Pêche melba;120
Dessert glacé type mystère ou vacherin;226
Dessert glacé, type sundae;230
Dessert glacé feuilleté, à partager;262
Omelette norvégienne;251
Poire belle Hélène;196
Nougat glacé;262
Citron givré ou Orange givrée (sorbet);133
Coupe glacée type café ou chocolat liégeois;220
Bûche glacée;226
Coupe glacée parfum pêche Melba ou poire Belle-Hélène;163
Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois;82.1
Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois;67.6
Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois;86.7
Dessert lacté infantile type crème dessert;91.5
Dessert lacté infantile au riz ou à la semoule;95.1
Dessert lacté infantile nature sucré ou aux fruits;95.8
Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois;84.4
Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois;86.3
Boisson infantile lactées aux fruits pour le goûter dès 4/6 mois (sans céréales);-
Boisson infantile céréales lactées pour le petit déjeuner;85.5
Lait de croissance infantile liquide (aliment lacté destiné aux enfants en bas âge);64.6
Lait 1er âge, reconstitué à l'eau faiblement minéralisée (préparation pour nourrissons);72.4
Lait 2ème âge, reconstitué à l'eau faiblement minéralisée (préparation de suite);69
Petit pot légumes, dès 4-6 mois;26.3
Petit pot légumes, avec féculent, dès 4/6 mois;41.7
Plat légumes, avec féculent, dès 6-8 mois;42.9
Plat légumes, avec féculent et lait/crème, dès 6-8 mois;47.6
Plat légumes, avec féculent et lait/crème, dès 8-12 mois;77.5
Plat légumes, avec féculent et lait/crème, dès 12 mois;83.9
Soupe pour bébé légumes et pomme de terre;38.5
Soupe pour bébé légumes, céréales et lait;56
Plat légumes, avec féculent et lait/crème, dès 18 mois;67
Plat légumes, avec féculent et viande/poisson, dès 6-8 mois;59
Plat légumes, avec féculent et viande/poisson, dès 8-12 mois;54.9
Plat légumes, avec féculent et viande/poisson, dès 12 mois;75.7
Plat légumes, avec féculent et viande/poisson, dès 18 mois;68.3
Petit pot fruit avec banane pour bébé;-
Petit pot fruit sans banane pour bébé;-
Céréales instantanées, poudre à reconstituer, dès 4/6 mois;393
Céréales instantanées, poudre à reconstituer, dès 6 mois;391
Biscuit pour bébé;437
Poudre cacaotée pour bébé;396
Boisson aux fruits pour bébé dès 4/6mois;-
Boisson à base de plantes pour bébé;-
Spiruline (Spirulina sp.), séchée ou déshydratée;388
Wakamé (Undaria pinnatifida), séchée ou déshydratée;184
Laitue de mer (Ulva sp.), séchée ou déshydratée;206
Kombu royal (Saccharina latissima), séchée ou déshydratée;204
Nori (Porphyra sp.), séchée ou déshydratée;255
Dulse (Palmaria palmata), séchée ou déshydratée;227
Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;224
Kombu breton (Laminaria digitata), séchée ou déshydratée;217
Haricot de mer (Himanthalia elongata), séchée ou déshydratée;239
Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;243
Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté;194
Ao-nori (Enteromorpha sp.), séchée ou déshydratée;224
Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté;234
Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté;211
Wakamé atlantique (Alaria esculenta), séchée ou déshydratée;187
Agar (algue), cru;28.4
Pizza au fromage ou Pizza margherita;227
Quiche lorraine;274
Crêpe ou Galette fourrée béchamel jambon;173
Crêpe ou Galette fourrée béchamel jambon fromage;182
Crêpe ou Galette fourrée béchamel champignon;150
Tarte aux légumes;216
Pizza jambon fromage;218
Tarte au fromage;289
Tarte à la provençale;245
Pizza à la viande, type bolognaise;227
Burritos;170
Fajitas;158
Pizza au chorizo ou salami;248
Pizza aux fruits de mer;200
Pizza au saumon;222
Pizza au chèvre et lardons;245
Pizza aux légumes ou Pizza 4 saisons;211
Pizza champignons fromage;217
Pizza 4 fromages;244
Pissaladière;284
Tarte à l'oignon;280
Pizza jambon fromage champignons ou pizza royale, reine ou regina;205
Crêpe ou Galette fourrée béchamel fromage;167
Flammenkueche ou Tarte flambée aux lardons;242
Crêpe ou Galette fourrée béchamel jambon fromage champignon;144
Tarte ou Tourte aux poireaux;243
Tarte au saumon;215
Brick au boeuf;342
Tourte au riesling;251
Tarte à la tomate;218
Crêpe ou Galette complète (œuf, jambon, fromage);203
Tarte aux noix de Saint-Jacques;266
Pastilla au poulet;218
Pizza aux lardons, oignons et fromage;255
Crêpe ou Galette aux noix de St Jacques;168
Tarte au maroilles ou Flamiche au maroilles;315
Ficelle picarde;151
Tarte épinard chèvre;235
Tielle sétoise;306
Pizza au thon;220
Pizza kebab;211
Pizza au poulet;215
Pizza type raclette ou tartiflette;276
Pizza au speck ou jambon cru;240
Boisson à l'amande;22.5
Boisson au soja, nature;37.1
Boisson au soja, nature, enrichie en calcium;44.2
Boisson au soja, aromatisée, sucrée;60.5
Boisson au soja et jus de fruits concentrés;46.9
